Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:47:15:025,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
2,16:47:15:755,Quaker Bot Long Strafes,MG,0.209s,40,40,1,70,80,0.875,false
3,16:47:16:715,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
4,16:47:18:771,Quaker Bot Long Strafes,MG,1.725s,90,70,0.778,140,180,0.778,false
5,16:47:19:596,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
6,16:47:20:648,Quaker Bot Long Strafes,MG,0.259s,30,10,0.333,20,60,0.333,false
7,16:47:21:713,Quaker Bot Long Strafes,MG,0.417s,70,40,0.571,80,140,0.571,false
8,16:47:23:844,Quaker Bot Long Strafes,MG,1.292s,100,70,0.7,140,200,0.7,false
9,16:47:24:616,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,70,100,0.7,false
10,16:47:25:467,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,80,100,0.8,false
11,16:47:26:581,Quaker Bot Long Strafes,MG,0.209s,20,10,0.5,20,40,0.5,false
12,16:47:27:445,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,80,100,0.8,false
13,16:47:28:230,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
14,16:47:29:305,Quaker Bot Long Strafes,MG,0.559s,90,40,0.444,80,180,0.444,false
15,16:47:30:511,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
16,16:47:31:378,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
17,16:47:32:139,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
18,16:47:33:015,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
19,16:47:36:746,Quaker Bot Long Strafes,MG,3.185s,190,130,0.684,170,380,0.447,false
20,16:47:37:814,Quaker Bot Long Strafes,MG,0.346s,60,30,0.5,30,120,0.25,false
21,16:47:38:665,Quaker Bot Long Strafes,MG,0s,10,10,1,20,20,1,false
22,16:47:39:462,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
23,16:47:40:479,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
24,16:47:41:952,Quaker Bot Long Strafes,MG,0.346s,60,40,0.667,80,120,0.667,false
25,16:47:42:799,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
26,16:47:47:276,Quaker Bot Long Strafes,MG,2.995s,160,100,0.625,110,320,0.344,false
27,16:47:48:190,Quaker Bot Long Strafes,MG,0.066s,20,20,1,40,40,1,false
28,16:47:49:357,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
29,16:47:50:463,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
30,16:47:51:198,Quaker Bot Long Strafes,MG,0.346s,60,50,0.833,80,120,0.667,false
31,16:47:51:906,Quaker Bot Long Strafes,MG,0.208s,40,40,1,70,80,0.875,false
32,16:47:52:679,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
33,16:47:53:676,Quaker Bot Long Strafes,MG,0.417s,70,60,0.857,70,140,0.5,false
34,16:47:55:061,Quaker Bot Long Strafes,MG,0.559s,90,50,0.556,70,180,0.389,false
35,16:47:55:817,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,80,100,0.8,false
36,16:47:56:372,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
37,16:47:57:094,Quaker Bot Long Strafes,MG,0.209s,40,40,1,70,80,0.875,false
38,16:47:58:221,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,80,100,0.8,false
